schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_gardenmakeharvest,4,app_channel,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,5,app_ver,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,6,caid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,7,country_code,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,8,device_height,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,9,device_model,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,10,device_width,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,11,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,12,imei,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,13,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,14,is_root,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,15,isp,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,16,language,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,17,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,18,make_level,bigint
bi_jus_vn,etl_ingame_gardenmakeharvest,19,network,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,20,oaid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,21,old_accountid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,22,os_name,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,23,os_ver,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,24,region,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,25,role_id,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,26,server,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,27,tdid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,28,transid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,29,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_gardenmakeharvest,30,udid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,31,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,32,urs,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,33,ds,date
bi_jus_vn,etl_ingame_gardenplaceunit,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,3,account_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,4,app_channel,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,5,app_ver,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,6,area_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,7,caid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,8,count,bigint
bi_jus_vn,etl_ingame_gardenplaceunit,9,country_code,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,10,device_height,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,11,device_model,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,12,device_width,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,13,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,14,garden_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,15,imei,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,16,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,17,is_root,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,18,isp,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,19,language,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,20,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,21,network,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,22,oaid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,23,old_accountid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,24,os_name,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,25,os_ver,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,26,owner_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,27,region,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,28,role_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,29,server,varchar
